"Album Manager", "Album Manager"
"ID", "ID"
"Thumbnail", "Thumbnail"
"Album","Album"
"Add Album","Add Album"
"Save Order","Save Order"
"Parent","Parent"
"Order","Order"
"Status","Status"
"Action","Action"
"Edit","Edit"
"Delete","Delete"
"Change status","Change status"
"Title","Title"
"Photo Manager","Photo Manager"
"Add Photo","Add Photo"
"Review Manager","Review Manager"
"Add Review","Add Review"
"Create on","Create on"
"Name","Name"
"Email","Email"
"Review","Review"
"Photo id","Photo id"
"Type","Type"
"Pending","Pending"
"Approved","Approved"
"Not Approved","Not Approved"
"Guest","Guest"
"Customer","Customer"
"Admin","Admin"
"Gallery Pro","Gallery Pro"
"General","General"
"Enable Gallery","Enable Gallery"
"Album Suffix","Album Suffix"
"Photo Suffix","Photo Suffix"
"Detail View Thumbnail Fill Color","Detail View Thumbnail Fill Color"
"Simple View Thumbnail Fill Color","Simple View Thumbnail Fill Color"
"Album Thumbnail Size (w-h)px","Album Thumbnail Size (w-h)px"
"Admin Thumbnail Size (w-h)px","Admin Thumbnail Size (w-h)px"
"Photo Per Page Allowed Values","Photo Per Page Allowed Values"
"Photo Per Page Default Value","Photo Per Page Default Value"
"Show Album Updated Date","Show Album Updated Date"
"Show Total Photos of Album","Show Total Photos of Album"
"Album Default Configuration","Album Default Configuration"
"Detail View Photo Thumbnail Size (w-h)px","Detail View Photo Thumbnail Size (w-h)px"
"Simple View Photo Thumbnail Size (w-h)px","Simple View Photo Thumbnail Size (w-h)px"
"Slideshow Size (w-h)px","Slideshow Size (w-h)px"
"Show Photo Title","Show Photo Title"
"Show Photo Description","Show Photo Description"
"Enable Photo Link","Enable Photo Link"
"Show Photo Updated Date","Show Photo Updated Date"
"Author Information","Author Information"
"Album Name","Album Name"
"Album image","Album image"
"Url key","Url key"
"Parent Album","Parent Album"
"Store View","Store View"
"Featured","Featured"
"Description","Description"
"Bottom Description","Bottom Description"
"Album Information","Album Information"
"Edit Album","Edit Album"
"Album Configuration","Album Configuration"
"Photo thumbnail size (w-h)px","Photo thumbnail size (w-h)px"
"Slideshow size (w-h)px","Slideshow size (w-h)px"
"Manager Albums","Manager Albums"
"Manager Photos","Manager Photos"
"Manager Reviews","Manager Reviews"
"Use Default Config","Use Default Config"
"Save","Save"
"Delete","Delete"
"Back to","Back to"
"Back to Home","Back to Home"
"View All","View All"
"Photo %s of %s", "Photo %s of %s"
"rates","rates"
"Photo","Photo"
"Reviews","Reviews"
"Write review","Write review"
"wrote","wrote"
"Rate:","Rate:"
"Name:","Name:"
"Email:","Email:"
"Comment:","Comment:"
"Submit","Submit"
"Rate This!","Rate This!"
"Slide show","Slide show"
"Detail","Detail"
"Simple","Simple"
"View as","View as"
"Item(s)","Item(s)"
"Items %s to %s of %s total","Items %s to %s of %s total"
"Show","Show"
"Page:","Page:"
"per page","per page"
"Sort by","Sort by"
"Default","Default"
"Rate","Rate"
"Name","Name"
"do not change current and total below"
"image {current} of {total}","image {current} of {total}"
"start slideshow","start slideshow"
"stop slideshow","stop slideshow"
"Review was successfully sended and waiting admin approve","Review was successfully sended and waiting admin approve"
"No review found.","No review found."